customer_id,credit_score,credit_band,dti,delinq_2yrs,open_acc,pub_rec,total_acc,revol_bal,revol_util
70134,699.610059547679,Near Prime,25.16,0.0,13.0,0.0,25.0,26605.0,88.4
620029,586.9872678365749,Subprime,16.37,0.0,15.0,0.0,22.0,9665.0,69.0
16219,651.9360504698096,Near Prime,27.3,0.0,16.0,0.0,42.0,32915.0,49.2
341937,665.7434224350178,Near Prime,23.67,1.0,7.0,0.0,15.0,8490.0,63.4
605678,686.7737995361496,Near Prime,11.37,3.0,9.0,0.0,17.0,5555.0,69.4
59239,738.199451384412,Prime,30.75,1.0,12.0,0.0,29.0,11691.0,65.0
184450,717.9220659765239,Prime,11.69,0.0,12.0,0.0,33.0,2527.0,2.4
468556,850.0,Super Prime,7.47,0.0,17.0,0.0,20.0,30588.0,41.7
557823,642.013498269224,Near Prime,14.75,0.0,12.0,0.0,31.0,10413.0,55.7
403481,725.8451352497453,Prime,8.76,0.0,10.0,0.0,10.0,12196.0,61.0
444074,661.0307438073349,Near Prime,12.11,0.0,16.0,0.0,52.0,48093.0,51.1
521012,744.3567044660623,Prime,29.24,0.0,16.0,0.0,38.0,17277.0,25.5
141228,676.6425955386101,Near Prime,16.89,1.0,7.0,0.0,12.0,21233.0,67.4
218239,679.2257912674933,Near Prime,35.49,0.0,7.0,1.0,15.0,3978.0,47.9
513825,622.0100368444366,Subprime,18.09,0.0,17.0,1.0,19.0,26312.0,67.5
240553,845.806491648341,Super Prime,22.38,0.0,9.0,1.0,13.0,4182.0,20.6
544600,673.0816609737999,Near Prime,4.06,0.0,6.0,1.0,18.0,12557.0,66.1
683772,597.3142039823177,Subprime,8.31,0.0,3.0,0.0,14.0,14366.0,98.4
110575,724.671875049175,Prime,22.08,0.0,9.0,1.0,24.0,2906.0,14.9
211284,838.6962110227089,Super Prime,24.98,0.0,9.0,0.0,10.0,2285.0,14.3
317143,742.3510227734623,Prime,27.51,0.0,13.0,0.0,25.0,5834.0,43.5
418628,635.774917315125,Subprime,5.03,0.0,3.0,0.0,3.0,8463.0,73.6
224281,748.4722689102782,Prime,16.89,0.0,10.0,1.0,16.0,2253.0,23.2
553405,835.9849292622075,Super Prime,23.63,0.0,11.0,0.0,46.0,20118.0,64.5
583135,652.057073481687,Near Prime,21.4,0.0,10.0,0.0,18.0,17867.0,72.6
235796,630.1353816478205,Subprime,8.79,0.0,7.0,0.0,10.0,6992.0,40.7
558061,613.6027284703005,Subprime,22.07,0.0,13.0,0.0,22.0,7652.0,42.0
603353,706.1366225960544,Prime,21.93,1.0,20.0,0.0,36.0,36325.0,89.3
417504,656.3768021717908,Near Prime,12.83,0.0,14.0,0.0,22.0,8288.0,54.9
545694,659.1227487980302,Near Prime,28.72,0.0,10.0,0.0,18.0,13570.0,50.8
660852,769.9449950333203,Super Prime,26.53,1.0,25.0,1.0,32.0,28107.0,65.5
541724,768.7670305174826,Super Prime,16.57,2.0,11.0,0.0,19.0,14231.0,86.8
399743,611.4599616493606,Subprime,22.2,0.0,10.0,0.0,28.0,14798.0,38.5
301740,715.8486693437794,Prime,14.28,0.0,4.0,0.0,6.0,2859.0,69.7
59018,670.6062128606761,Near Prime,8.73,0.0,9.0,0.0,22.0,9179.0,84.2
662680,844.8842096847167,Super Prime,28.31,0.0,18.0,0.0,29.0,22692.0,79.3
197534,679.104536237959,Near Prime,9.31,0.0,7.0,0.0,7.0,5300.0,50.0
