customer_id,emp_length,home_ownership,annual_inc,verification_status,addr_state
417616,7 years,OWN,52000.0,Source Verified,MD
496895,2 years,RENT,62418.0,Source Verified,NY
451591,3 years,RENT,56000.0,Not Verified,WA
119707,5 years,MORTGAGE,157000.0,Not Verified,CO
467437,6 years,MORTGAGE,58173.0,Verified,CA
553684,5 years,OWN,71000.0,Source Verified,TX
113197,10+ years,MORTGAGE,150750.0,Verified,WA
40385,,MORTGAGE,112000.0,Not Verified,TX
545137,10+ years,MORTGAGE,70000.0,Source Verified,DC
144966,1 year,MORTGAGE,180000.0,Not Verified,WV
134034,10+ years,MORTGAGE,170000.0,Source Verified,MO
469437,10+ years,OWN,58513.0,Not Verified,NY
690077,3 years,MORTGAGE,99000.0,Not Verified,CO
127019,< 1 year,OWN,164000.0,Verified,AL
528675,10+ years,RENT,67100.0,Source Verified,MD
479025,,RENT,60000.0,Verified,MA
14939,10+ years,MORTGAGE,103258.0,Source Verified,FL
111733,9 years,MORTGAGE,150000.0,Source Verified,NJ
187295,< 1 year,MORTGAGE,23920.0,Not Verified,MI
655760,7 years,MORTGAGE,90408.0,Verified,PA
196127,< 1 year,MORTGAGE,25000.0,Source Verified,MI
646152,< 1 year,OWN,88622.0,Source Verified,NC
503299,3 years,RENT,63250.0,Source Verified,VA
416311,8 years,RENT,52000.0,Verified,AZ
463697,4 years,RENT,57996.0,Verified,FL
230140,3 years,MORTGAGE,299999.0,Source Verified,NJ
20098,< 1 year,RENT,105000.0,Source Verified,MO
660537,4 years,MORTGAGE,92000.0,Not Verified,CA
620888,9 years,MORTGAGE,83250.0,Verified,MA
188190,,RENT,24000.0,Not Verified,IL
447523,,MORTGAGE,55700.0,Not Verified,IN
336732,4 years,RENT,42432.0,Not Verified,UT
417011,10+ years,MORTGAGE,52000.0,Source Verified,IL
289679,3 years,MORTGAGE,37000.0,Verified,NH
12378,1 year,RENT,102500.0,Not Verified,TX
210602,,MORTGAGE,27000.0,Not Verified,LA
115789,10+ years,MORTGAGE,154000.0,Not Verified,AL
29857,10+ years,MORTGAGE,108367.0,Not Verified,CA
438256,2 years,RENT,54627.0,Source Verified,FL
655795,10+ years,MORTGAGE,90441.0,Not Verified,CA
449193,,OWN,56000.0,Source Verified,FL
601412,6 years,MORTGAGE,79985.0,Verified,IL
516035,10+ years,MORTGAGE,65000.0,Source Verified,UT
678979,,RENT,96000.0,Verified,NC
465224,9 years,MORTGAGE,58000.0,Source Verified,MI
512013,4 years,MORTGAGE,64992.0,Source Verified,LA
189360,9 years,MORTGAGE,24000.0,Source Verified,OK
128821,2 years,MORTGAGE,165000.0,Not Verified,NY
440341,3 years,RENT,55000.0,Not Verified,DC
434109,10+ years,MORTGAGE,54000.0,Verified,NY
378115,< 1 year,RENT,47328.0,Source Verified,CA
207763,,MORTGAGE,26500.0,Verified,MO
440773,10+ years,MORTGAGE,55000.0,Not Verified,IL
348193,3 years,RENT,43896.0,Not Verified,NY
17656,10+ years,MORTGAGE,104100.0,Not Verified,AZ
623802,,MORTGAGE,84000.0,Verified,MI
489154,8 years,MORTGAGE,61349.0,Verified,CT
402043,4 years,RENT,50000.0,Verified,NE
486155,< 1 year,MORTGAGE,61000.0,Verified,FL
123683,10+ years,RENT,160000.0,Verified,MS
425759,1 year,RENT,53000.0,Source Verified,KY
218246,,MORTGAGE,28000.0,Not Verified,NC
497895,5 years,OWN,62500.0,Verified,NY
484311,1 year,RENT,60500.0,Verified,VA
552606,3 years,RENT,71000.0,Not Verified,KS
450221,3 years,RENT,56000.0,Source Verified,MT
422789,< 1 year,MORTGAGE,525000.0,Source Verified,OK
344585,3 years,MORTGAGE,43220.0,Not Verified,NC
519163,4 years,RENT,65676.0,Source Verified,IN
460712,,RENT,57444.0,Not Verified,TX
190813,< 1 year,MORTGAGE,240000.0,Source Verified,OR
558448,4 years,RENT,72000.0,Verified,MN
483980,,MORTGAGE,60500.0,Not Verified,CA
523040,10+ years,RENT,66232.0,Verified,MN
580559,10+ years,RENT,75586.0,Source Verified,NC
430999,3 years,OWN,53700.0,Not Verified,TX
118226,10+ years,OWN,155500.0,Verified,NJ
481814,,OWN,60000.0,Not Verified,WI
12166,1 year,RENT,102500.0,Source Verified,FL
572060,2 years,MORTGAGE,74220.0,Not Verified,TX
352118,1 year,MORTGAGE,44200.0,Source Verified,AZ
460914,3 years,RENT,57500.0,Source Verified,CA
594800,3 years,MORTGAGE,78200.0,Source Verified,NJ
270192,6 years,RENT,35000.0,Verified,CA
288195,5 years,RENT,37000.0,Source Verified,AZ
358582,5 years,MORTGAGE,45000.0,Source Verified,ND
577447,6 years,RENT,75000.0,Verified,NY
632009,2 years,RENT,85400.0,Not Verified,CA
587887,7 years,MORTGAGE,77000.0,Verified,MO
597464,10+ years,RENT,79000.0,Verified,FL
305640,3 years,OWN,39000.0,Source Verified,CA
622164,7 years,RENT,83700.0,Not Verified,OH
371493,< 1 year,OWN,46500.0,Source Verified,OH
299835,7 years,RENT,38000.0,Verified,WV
426133,10+ years,OWN,53000.0,Not Verified,MN
181222,3 years,RENT,22900.0,Verified,NY
54394,7 years,MORTGAGE,118500.0,Not Verified,NJ
268624,2 years,MORTGAGE,34700.0,Verified,AZ
646359,10+ years,MORTGAGE,88750.0,Not Verified,WI
315162,7 years,MORTGAGE,40000.0,Source Verified,MI
216789,6 years,MORTGAGE,28000.0,Verified,AR
285598,< 1 year,RENT,36500.0,Not Verified,FL
318742,2 years,RENT,40080.0,Not Verified,CA
153816,,OWN,19200.0,Not Verified,MD
282420,8 years,MORTGAGE,36000.0,Verified,TN
386226,5 years,OWN,48003.0,Source Verified,SC
42698,6 years,RENT,113089.0,Not Verified,CO
248731,7 years,MORTGAGE,32000.0,Verified,PA
466871,9 years,MORTGAGE,58000.0,Source Verified,WA
178861,< 1 year,MORTGAGE,225000.0,Source Verified,CO
452366,10+ years,MORTGAGE,56160.0,Source Verified,CT
31869,10+ years,MORTGAGE,109200.0,Source Verified,TX
253532,< 1 year,RENT,32640.0,Source Verified,NH
651011,7 years,MORTGAGE,90000.0,Source Verified,AL
634338,8 years,RENT,86000.0,Verified,MD
496561,10+ years,RENT,62400.0,Source Verified,NY
574918,6 years,MORTGAGE,75000.0,Source Verified,CA
151178,< 1 year,OWN,19000.0,Not Verified,CA
219378,< 1 year,OWN,28000.0,Source Verified,WA
12753,10+ years,MORTGAGE,102800.0,Verified,TN
390570,10+ years,MORTGAGE,48836.0,Source Verified,NH
12808,9 years,RENT,102895.0,Source Verified,FL
120315,7 years,MORTGAGE,157685.0,Source Verified,LA
661694,7 years,RENT,92000.0,Source Verified,NC
591667,< 1 year,RENT,78000.0,Not Verified,AL
579665,10+ years,RENT,75343.0,Source Verified,NY
399111,8 years,MORTGAGE,49999.0,Source Verified,CA
638845,10+ years,RENT,87000.0,Not Verified,ME
509466,2 years,OWN,64300.0,Verified,TX
321043,10+ years,RENT,40536.0,Source Verified,CA
142966,9 years,MORTGAGE,18000.0,Verified,WI
40230,2 years,RENT,112000.0,Verified,RI
691022,2 years,RENT,99000.0,Not Verified,VA
90229,10+ years,MORTGAGE,136500.0,Verified,FL
443473,9 years,OWN,55000.0,Not Verified,TX
65533,10+ years,RENT,123406.0,Verified,MD
352746,< 1 year,RENT,44300.0,Not Verified,UT
277211,5 years,RENT,35500.0,Verified,MA
634077,10+ years,OWN,86000.0,Not Verified,IN
388335,2 years,MORTGAGE,48500.0,Source Verified,KS
510896,10+ years,RENT,64617.0,Source Verified,DC
70208,,MORTGAGE,125000.0,Source Verified,PA
217269,10+ years,RENT,28000.0,Not Verified,GA
250753,< 1 year,RENT,32240.0,Verified,TX
392776,4 years,MORTGAGE,49000.0,Verified,NE
143783,4 years,RENT,180000.0,Verified,MA
277645,6 years,RENT,35520.0,Not Verified,FL
591348,4 years,MORTGAGE,77868.08,Verified,CA
518789,,RENT,65540.0,Verified,CT
318213,8 years,MORTGAGE,400000.0,Source Verified,NJ
14741,2 years,RENT,103100.0,Source Verified,NJ
207250,4 years,MORTGAGE,26400.0,Source Verified,TX
79122,,RENT,130000.0,Source Verified,MA
409462,8 years,RENT,51000.0,Source Verified,CT
302555,10+ years,OWN,38500.0,Source Verified,AZ
480454,,OWN,60000.0,Not Verified,NY
488259,2 years,RENT,61120.0,Verified,TX
521502,3 years,MORTGAGE,66000.0,Not Verified,NJ
457913,8 years,RENT,57000.0,Source Verified,NJ
526924,3 years,RENT,67000.0,Not Verified,MD
248110,4 years,MORTGAGE,32000.0,Verified,NJ
368385,9 years,RENT,46000.0,Source Verified,PA
93195,3 years,MORTGAGE,139000.0,Source Verified,FL
682772,3 years,RENT,97000.0,Source Verified,MS
546616,8 years,MORTGAGE,70000.0,Not Verified,MO
669011,10+ years,MORTGAGE,93940.0,Not Verified,AL
543319,8 years,RENT,69700.0,Not Verified,OH
642452,5 years,MORTGAGE,87950.0,Source Verified,GA
39810,10+ years,MORTGAGE,112000.0,Not Verified,NC
120692,< 1 year,RENT,158000.0,Verified,NJ
556597,10+ years,MORTGAGE,71900.0,Source Verified,OH
365072,1 year,MORTGAGE,45760.0,Source Verified,SC
548263,4 years,ANY,70000.0,Source Verified,TX
112262,8 years,MORTGAGE,150000.0,Source Verified,PA
145827,4 years,RENT,182000.0,Source Verified,NY
400455,2 years,RENT,50000.0,Not Verified,ID
49452,2 years,MORTGAGE,116000.0,Source Verified,MD
520468,5 years,RENT,66000.0,Source Verified,DC
639641,6 years,RENT,87000.0,Source Verified,TN
32288,9 years,MORTGAGE,109660.0,Verified,FL
184907,10+ years,MORTGAGE,233200.0,Verified,TX
111234,8 years,MORTGAGE,150000.0,Verified,MI
618279,2 years,MORTGAGE,83000.0,Verified,CO
493369,9 years,OWN,62000.0,Source Verified,NH
421896,3 years,MORTGAGE,52500.0,Not Verified,CA
48952,10+ years,OWN,115902.0,Source Verified,IL
554255,10+ years,MORTGAGE,71138.0,Source Verified,MI
673394,< 1 year,MORTGAGE,95000.0,Verified,HI
117321,4 years,RENT,155000.0,Verified,MI
647529,4 years,MORTGAGE,89000.0,Source Verified,LA
576522,6 years,RENT,75000.0,Not Verified,MN
460609,10+ years,MORTGAGE,57400.0,Not Verified,WA
450735,9 years,OWN,56000.0,Verified,NY
536179,10+ years,MORTGAGE,68289.0,Verified,MN
615928,10+ years,MORTGAGE,82400.0,Verified,MA
340541,6 years,RENT,43000.0,Verified,CA
621339,6 years,MORTGAGE,83485.0,Verified,MI
120475,5 years,MORTGAGE,158000.0,Verified,CO
128977,1 year,MORTGAGE,165000.0,Source Verified,PA
532054,4 years,RENT,67895.0,Not Verified,NY
141138,,MORTGAGE,17880.0,Verified,SC
396670,7 years,MORTGAGE,49520.0,Verified,CA
255846,3 years,OWN,33000.0,Verified,MD
81284,10+ years,RENT,130922.0,Verified,CA
297766,1 year,MORTGAGE,38000.0,Source Verified,ME
594196,4 years,RENT,78000.0,Source Verified,VA
171142,10+ years,MORTGAGE,21428.0,Not Verified,OK
5098,< 1 year,RENT,1000000.0,Source Verified,AZ
449223,3 years,MORTGAGE,56000.0,Not Verified,GA
590650,10+ years,MORTGAGE,77580.0,Source Verified,GA
149714,6 years,MORTGAGE,187000.0,Not Verified,TX
285187,,RENT,36441.24,Verified,SC
583166,5 years,RENT,76000.0,Not Verified,NY
124094,10+ years,MORTGAGE,160000.0,Source Verified,OH
429852,9 years,MORTGAGE,53500.0,Verified,IN
553718,9 years,RENT,71000.0,Not Verified,TX
644566,2 years,MORTGAGE,88000.0,Not Verified,WA
508418,5 years,MORTGAGE,64000.0,Verified,UT
296098,1 year,RENT,37943.0,Not Verified,CA
72765,2 years,OWN,126500.0,Source Verified,IL
337172,5 years,MORTGAGE,42500.0,Source Verified,GA
295498,< 1 year,RENT,37800.0,Not Verified,AZ
504714,9 years,MORTGAGE,63539.05,Source Verified,MN
267737,4 years,OWN,34500.0,Verified,TX
375808,10+ years,MORTGAGE,47000.0,Source Verified,NM
499049,9 years,MORTGAGE,62760.0,Source Verified,OK
278914,7 years,MORTGAGE,35859.0,Source Verified,OH
433167,9 years,RENT,54000.0,Verified,LA
268226,3 years,RENT,34579.2,Source Verified,IL
243141,,MORTGAGE,31235.0,Not Verified,TX
670317,9 years,MORTGAGE,94000.0,Verified,NY
353650,10+ years,RENT,44500.0,Source Verified,FL
212444,,OWN,27003.0,Not Verified,OH
92451,6 years,RENT,138000.0,Verified,PA
306004,5 years,MORTGAGE,39000.0,Source Verified,GA
249815,3 years,MORTGAGE,320000.0,Source Verified,PA
480173,10+ years,RENT,60000.0,Verified,NM
214195,10+ years,OWN,27500.0,Source Verified,NY
379370,< 1 year,OWN,47500.0,Source Verified,NC
327158,< 1 year,RENT,41353.0,Source Verified,MN
487199,8 years,MORTGAGE,61000.0,Not Verified,NY
495881,,MORTGAGE,62352.0,Verified,TX
627332,4 years,RENT,85000.0,Verified,AK
396734,,MORTGAGE,49548.0,Verified,IN
247961,2 years,MORTGAGE,32000.0,Source Verified,ND
388112,8 years,RENT,48500.0,Source Verified,CA
493850,5 years,RENT,62000.0,Source Verified,OK
632817,5 years,RENT,85674.04,Source Verified,CA
379696,8 years,OWN,47500.0,Source Verified,SC
494331,7 years,MORTGAGE,62000.0,Not Verified,TX
497719,< 1 year,MORTGAGE,62500.0,Verified,MO
26769,10+ years,RENT,107200.0,Source Verified,PA
561282,2 years,RENT,72350.0,Verified,NY
121218,3 years,MORTGAGE,159000.0,Not Verified,FL
160171,10+ years,MORTGAGE,20000.0,Source Verified,OK
431529,,MORTGAGE,53834.0,Verified,VA
19953,8 years,OWN,105000.0,Verified,MI
136519,,OWN,173280.0,Source Verified,LA
167457,4 years,MORTGAGE,21000.0,Source Verified,CA
309721,3 years,RENT,39499.0,Not Verified,MN
442399,2 years,RENT,55000.0,Verified,NM
649646,10+ years,MORTGAGE,89500.0,Not Verified,LA
341722,6 years,MORTGAGE,43000.0,Not Verified,MN
433491,4 years,MORTGAGE,54000.0,Source Verified,MN
105638,1 year,MORTGAGE,147000.0,Not Verified,CO
214497,1 year,OWN,275000.0,Verified,FL
55378,8 years,RENT,119000.0,Verified,PA
36209,,MORTGAGE,110000.0,Not Verified,WA
147282,,RENT,18500.0,Not Verified,NY
333102,4 years,RENT,42000.0,Source Verified,NH
605005,2 years,OWN,80000.0,Not Verified,PA
492195,,OWN,62000.0,Source Verified,GA
167059,1 year,RENT,20889.0,Source Verified,CO
432371,4 years,MORTGAGE,54000.0,Verified,CO
474431,10+ years,MORTGAGE,59375.28,Verified,WA
589712,9 years,MORTGAGE,77367.0,Verified,NC
238533,6 years,MORTGAGE,30800.0,Source Verified,OH
211864,3 years,RENT,27000.0,Verified,VA
409915,4 years,MORTGAGE,51000.0,Verified,KS
