loan_id,loan_status,default_flag
1758075,Fully Paid,0
686540,Fully Paid,0
900732,Current,0
1727936,Fully Paid,0
539696,Current,0
2153243,Current,0
47644,Fully Paid,0
1360749,Current,0
1779720,Fully Paid,0
511381,Current,0
506303,Current,0
1262704,Charged Off,1
1094509,Fully Paid,0
578799,Fully Paid,0
1421215,Current,0
1228636,Fully Paid,0
992338,Current,0
93763,Fully Paid,0
754142,Current,0
1815443,Fully Paid,0
61996,Current,0
1526573,Current,0
380884,Fully Paid,0
1224223,Fully Paid,0
240100,Charged Off,1
1457123,Current,0
1008558,Fully Paid,0
1893150,Fully Paid,0
1204380,Fully Paid,0
893676,Current,0
453817,Current,0
2027358,Current,0
1476462,Current,0
1241162,Charged Off,1
2083418,Fully Paid,0
1919506,Charged Off,1
1603455,Fully Paid,0
1163978,Fully Paid,0
1446019,Current,0
2171365,Fully Paid,0
1182007,Fully Paid,0
483177,Current,0
679978,Fully Paid,0
1631119,Fully Paid,0
2171485,Fully Paid,0
1019894,Fully Paid,0
1019190,Fully Paid,0
143922,Current,0
1960152,Fully Paid,0
1024792,Fully Paid,0
201349,Fully Paid,0
1042749,Fully Paid,0
353573,Current,0
988731,Fully Paid,0
839657,Current,0
1992152,Current,0
1968180,Current,0
541436,Current,0
2059636,Current,0
1967021,Current,0
1065074,Fully Paid,0
1434553,Current,0
1536376,Current,0
50035,Fully Paid,0
250474,Current,0
1308604,Fully Paid,0
2081851,Current,0
2084099,Current,0
964197,Current,0
771625,Current,0
1603913,Current,0
1831560,Fully Paid,0
1547572,Fully Paid,0
1764500,Fully Paid,0
339004,Fully Paid,0
19915,Fully Paid,0
392563,Charged Off,1
633224,Current,0
903481,Current,0
1735857,Fully Paid,0
106978,Fully Paid,0
448557,Fully Paid,0
543936,Current,0
1299055,Fully Paid,0
1387287,Current,0
837333,Current,0
1830611,Fully Paid,0
222886,Fully Paid,0
1351906,Fully Paid,0
87716,Fully Paid,0
1905057,Charged Off,1
974127,Charged Off,1
671462,Fully Paid,0
1295727,Fully Paid,0
35414,Fully Paid,0
515716,Current,0
755143,Current,0
765195,Current,0
543118,Current,0
2097479,Current,0
2166527,Current,0
1513394,Current,0
752379,Current,0
1382789,Current,0
1881025,Fully Paid,0
2049267,Current,0
879545,Current,0
604103,Current,0
630919,Fully Paid,0
289354,Fully Paid,0
1348380,Fully Paid,0
295993,Fully Paid,0
124479,Fully Paid,0
1421995,Current,0
1272264,Fully Paid,0
1553144,Fully Paid,0
412633,Charged Off,1
421137,Current,0
2225234,Fully Paid,0
1326054,Fully Paid,0
1455434,Current,0
1391645,Current,0
311648,Fully Paid,0
780067,Late (31-120 days),1
177722,Fully Paid,0
7333,Fully Paid,0
1045983,Fully Paid,0
1562448,Current,0
713426,Current,0
442878,Fully Paid,0
1859049,Fully Paid,0
2188034,Current,0
2158584,Fully Paid,0
207978,Fully Paid,0
714239,Fully Paid,0
1492154,Current,0
1640456,Charged Off,1
1705651,Current,0
1920137,Fully Paid,0
274752,Charged Off,1
1014067,Current,0
1696626,Current,0
2178885,Fully Paid,0
1972113,Current,0
607746,Fully Paid,0
1807145,Fully Paid,0
388554,Fully Paid,0
645540,Current,0
1640153,Fully Paid,0
126246,Fully Paid,0
792829,Current,0
627719,Late (16-30 days),0
380611,Fully Paid,0
1129864,Fully Paid,0
928791,Charged Off,1
1918763,Fully Paid,0
1495765,Current,0
76929,Fully Paid,0
1584041,Current,0
210076,Fully Paid,0
130343,Charged Off,1
1538269,Current,0
976222,Current,0
837367,Current,0
269704,Late (31-120 days),1
683559,Charged Off,1
1157612,Fully Paid,0
353881,Fully Paid,0
1443345,Current,0
1080530,Fully Paid,0
36841,Fully Paid,0
223576,Charged Off,1
1788272,Charged Off,1
1445349,Current,0
678272,Fully Paid,0
1282934,Current,0
155369,Fully Paid,0
2040613,Current,0
1649495,Charged Off,1
1470412,Current,0
2206517,Current,0
185861,Fully Paid,0
2086784,Current,0
1829750,Fully Paid,0
1213357,Fully Paid,0
270284,Fully Paid,0
1710992,Charged Off,1
130526,Fully Paid,0
942139,Current,0
917676,Current,0
378324,Fully Paid,0
1817094,Fully Paid,0
1904921,Fully Paid,0
1716406,Current,0
1319661,Fully Paid,0
2074337,Current,0
1624067,Fully Paid,0
1562273,Current,0
350165,Fully Paid,0
1163383,Fully Paid,0
738637,Fully Paid,0
