loan_id,customer_id,loan_amnt,term,int_rate,installment,grade,sub_grade,purpose,issue_d
1758075,70134,28000.0, 36 months,6.62,859.71,A,A2,credit_card,2013-12-01
686540,620029,10650.0, 36 months,25.11,424.07,F,F1,debt_consolidation,2016-05-01
900732,16219,18000.0, 36 months,10.91,588.54,B,B4,debt_consolidation,2017-06-01
1727936,341937,3975.0, 36 months,17.99,143.69,D,D2,car,2017-01-01
539696,605678,4800.0, 36 months,16.02,168.81,C,C5,other,2017-09-01
2153243,59239,10000.0, 36 months,16.02,351.67,C,C5,debt_consolidation,2017-10-01
47644,184450,15000.0, 36 months,6.24,457.97,A,A2,debt_consolidation,2015-11-01
1360749,468556,40000.0, 60 months,12.98,909.72,B,B5,debt_consolidation,2018-12-01
1779720,557823,8000.0, 36 months,9.67,256.9,B,B1,debt_consolidation,2013-11-01
511381,403481,8400.0, 36 months,9.44,268.85,B,B1,credit_card,2018-01-01
506303,444074,40000.0, 36 months,6.08,1218.33,A,A2,home_improvement,2018-01-01
1262704,521012,17500.0, 60 months,9.17,364.72,B,B1,debt_consolidation,2014-06-01
1094509,141228,16000.0, 36 months,11.99,531.36,C,C1,credit_card,2016-01-01
578799,218239,7000.0, 36 months,12.62,234.58,C,C1,debt_consolidation,2017-08-01
1421215,513825,10000.0, 36 months,16.91,356.08,C,C5,debt_consolidation,2018-11-01
1228636,240553,10000.0, 36 months,8.39,315.17,A,A5,debt_consolidation,2014-07-01
992338,544600,21000.0, 60 months,14.46,493.66,C,C4,debt_consolidation,2016-03-01
93763,683772,5400.0, 36 months,10.99,176.77,B,B4,other,2015-10-01
754142,110575,29725.0, 36 months,14.47,1022.73,C,C2,debt_consolidation,2018-09-01
1815443,211284,3150.0, 36 months,18.85,115.23,D,D3,moving,2013-08-01
61996,317143,14400.0, 60 months,15.41,345.69,D,D1,debt_consolidation,2015-11-01
1526573,418628,7500.0, 36 months,19.42,276.52,D,D3,debt_consolidation,2018-05-01
380884,224281,7625.0, 36 months,11.99,253.23,B,B5,debt_consolidation,2015-02-01
1224223,553405,26400.0, 36 months,10.99,864.18,B,B3,credit_card,2014-07-01
240100,583135,10000.0, 60 months,13.33,229.23,C,C3,debt_consolidation,2015-06-01
1457123,235796,5000.0, 36 months,11.06,163.84,B,B3,debt_consolidation,2018-10-01
1008558,558061,12000.0, 60 months,14.46,282.09,C,C4,debt_consolidation,2016-03-01
1893150,603353,9000.0, 36 months,14.09,308.0,B,B5,debt_consolidation,2012-11-01
1204380,417504,9500.0, 36 months,7.69,296.34,A,A4,credit_card,2014-08-01
893676,545694,16000.0, 60 months,9.44,335.57,B,B1,home_improvement,2017-06-01
453817,660852,19000.0, 60 months,21.85,523.15,D,D5,debt_consolidation,2018-03-01
2027358,541724,31850.0, 60 months,26.99,972.36,F,F3,medical,2016-07-01
1476462,399743,20000.0, 36 months,7.21,619.47,A,A3,credit_card,2018-10-01
1241162,301740,5200.0, 36 months,20.2,193.79,E,E3,debt_consolidation,2014-07-01
2083418,59018,15000.0, 36 months,7.35,465.57,A,A4,debt_consolidation,2017-11-01
1919506,662680,25000.0, 60 months,19.72,658.46,D,D5,credit_card,2012-07-01
1603455,197534,4500.0, 36 months,16.01,158.23,C,C5,debt_consolidation,2018-04-01
1163978,642735,15000.0, 36 months,10.99,491.01,B,B3,debt_consolidation,2014-10-01
1446019,515459,5000.0, 36 months,7.21,154.87,A,A3,credit_card,2018-10-01
2171365,9954,8400.0, 36 months,7.49,261.26,A,A4,home_improvement,2016-12-01
1182007,122497,6375.0, 36 months,13.35,215.88,C,C2,debt_consolidation,2014-10-01
483177,351389,12000.0, 60 months,9.44,251.68,B,B1,debt_consolidation,2018-02-01
679978,57389,10000.0, 36 months,7.39,310.56,A,A4,other,2016-06-01
1631119,232122,7000.0, 36 months,10.37,227.09,B,B3,debt_consolidation,2011-02-01
2171485,211514,11325.0, 36 months,12.74,380.17,C,C1,debt_consolidation,2016-12-01
1019894,151763,4000.0, 36 months,9.75,128.6,B,B3,credit_card,2016-03-01
1019190,651401,5000.0, 36 months,5.32,150.58,A,A1,debt_consolidation,2016-03-01
143922,559227,24000.0, 60 months,17.86,607.62,D,D5,debt_consolidation,2015-09-01
1960152,60150,36000.0, 60 months,10.99,782.55,B,B4,debt_consolidation,2016-09-01
1024792,453676,7000.0, 36 months,5.32,210.81,A,A1,debt_consolidation,2016-03-01
201349,513123,6000.0, 36 months,14.65,206.97,C,C5,vacation,2015-08-01
1042749,174109,6500.0, 36 months,6.49,199.19,A,A2,debt_consolidation,2016-02-01
353573,478827,20000.0, 60 months,12.29,447.83,C,C1,credit_card,2015-03-01
988731,192647,40000.0, 60 months,14.46,940.3,C,C4,debt_consolidation,2016-03-01
839657,439400,20000.0, 36 months,16.14,704.53,C,C4,debt_consolidation,2018-07-01
1992152,315938,15000.0, 36 months,8.99,476.93,B,B1,credit_card,2016-08-01
1968180,135828,28100.0, 36 months,7.99,880.43,A,A4,debt_consolidation,2016-08-01
541436,456781,6400.0, 36 months,11.99,212.55,B,B5,credit_card,2017-09-01
2059636,316242,20000.0, 60 months,13.59,461.13,C,C2,small_business,2017-12-01
1967021,403287,8000.0, 36 months,8.59,252.88,A,A5,car,2016-09-01
1065074,261468,11400.0, 60 months,17.27,284.98,D,D2,car,2016-02-01
1434553,672812,28000.0, 60 months,8.46,573.93,A,A5,credit_card,2018-11-01
1536376,417111,2100.0, 36 months,6.19,64.07,A,A2,car,2018-05-01
50035,3308,35000.0, 36 months,11.49,1154.0,B,B5,debt_consolidation,2015-11-01
250474,440618,15400.0, 60 months,9.17,320.96,B,B2,credit_card,2015-06-01
1308604,477620,9600.0, 36 months,12.49,321.11,B,B4,debt_consolidation,2014-04-01
2081851,399755,10000.0, 36 months,9.44,320.05,B,B1,debt_consolidation,2017-11-01
2084099,293513,30000.0, 36 months,7.97,939.68,A,A5,credit_card,2017-11-01
964197,401542,7200.0, 36 months,7.99,225.59,A,A5,debt_consolidation,2017-04-01
771625,481448,18000.0, 36 months,7.84,562.73,A,A4,debt_consolidation,2018-09-01
1603913,91066,25000.0, 60 months,13.58,576.28,C,C2,debt_consolidation,2018-04-01
1831560,547200,4500.0, 36 months,17.56,161.7,D,D1,other,2013-07-01
1547572,60477,5000.0, 36 months,18.45,181.9,D,D2,debt_consolidation,2018-05-01
1764500,647355,8275.0, 36 months,10.99,270.88,B,B2,debt_consolidation,2013-12-01
339004,442276,14025.0, 36 months,9.99,452.49,B,B3,debt_consolidation,2015-03-01
19915,197523,10000.0, 36 months,11.22,328.43,B,B5,credit_card,2015-12-01
392563,448792,6000.0, 36 months,8.19,188.55,A,A5,debt_consolidation,2015-01-01
633224,329672,8150.0, 36 months,16.02,286.62,C,C5,debt_consolidation,2017-07-01
903481,302418,5000.0, 36 months,10.91,163.49,B,B4,credit_card,2017-06-01
1735857,480383,15000.0, 36 months,10.49,487.47,B,B2,credit_card,2017-01-01
106978,435109,12000.0, 36 months,13.33,406.24,C,C3,debt_consolidation,2015-10-01
448557,634874,14000.0, 60 months,15.04,333.36,C,C4,debt_consolidation,2018-03-01
543936,506313,12000.0, 36 months,13.59,407.75,C,C2,debt_consolidation,2017-09-01
1299055,571249,9675.0, 36 months,15.61,338.29,C,C5,debt_consolidation,2014-04-01
1387287,133344,20000.0, 36 months,7.56,622.68,A,A3,credit_card,2018-12-01
837333,10751,30000.0, 60 months,7.84,606.0,A,A4,small_business,2018-07-01
1830611,513083,12300.0, 36 months,13.68,418.48,C,C1,debt_consolidation,2013-07-01
222886,14810,28700.0, 60 months,22.99,808.91,F,F2,debt_consolidation,2015-07-01
1351906,190159,20000.0, 36 months,12.85,672.44,B,B4,debt_consolidation,2014-01-01
87716,456268,28500.0, 60 months,16.99,708.15,D,D3,credit_card,2015-10-01
1905057,481626,16000.0, 60 months,18.49,410.58,D,D2,debt_consolidation,2012-09-01
974127,593455,21125.0, 60 months,29.99,683.34,F,F3,debt_consolidation,2017-04-01
671462,139475,6000.0, 36 months,6.97,185.19,A,A3,home_improvement,2016-06-01
1295727,285717,8200.0, 36 months,15.61,286.72,C,C5,debt_consolidation,2014-04-01
35414,14512,21000.0, 60 months,18.2,535.55,E,E1,debt_consolidation,2015-12-01
515716,244121,15000.0, 36 months,14.08,513.25,C,C3,debt_consolidation,2018-01-01
755143,317586,5000.0, 36 months,18.94,183.13,D,D2,debt_consolidation,2018-09-01
765195,382416,5000.0, 36 months,8.46,157.75,A,A5,debt_consolidation,2018-09-01
543118,648293,35000.0, 60 months,26.3,1054.15,E,E5,debt_consolidation,2017-09-01
2097479,316433,25350.0, 36 months,25.82,1018.94,E,E4,debt_consolidation,2017-11-01
2166527,637885,20000.0, 36 months,13.99,683.46,C,C3,debt_consolidation,2016-12-01
1513394,654335,10000.0, 60 months,15.49,240.48,C,C4,home_improvement,2018-06-01
752379,449278,12000.0, 36 months,7.84,375.16,A,A4,debt_consolidation,2018-09-01
1382789,10739,1200.0, 36 months,8.81,38.06,A,A5,home_improvement,2018-12-01
1881025,57876,12000.0, 36 months,10.16,388.11,B,B1,debt_consolidation,2013-01-01
2049267,606006,10700.0, 36 months,7.97,335.16,A,A5,credit_card,2017-12-01
879545,461138,5000.0, 36 months,14.08,171.09,C,C3,vacation,2017-06-01
604103,29350,25000.0, 60 months,14.08,582.75,C,C3,major_purchase,2017-08-01
630919,350350,3000.0, 36 months,7.97,93.97,A,A5,credit_card,2017-07-01
289354,382889,6000.0, 36 months,9.99,193.58,B,B3,debt_consolidation,2015-05-01
1348380,342527,17875.0, 60 months,19.22,465.86,D,D4,debt_consolidation,2014-01-01
295993,481625,21600.0, 60 months,10.99,469.53,B,B4,debt_consolidation,2015-05-01
124479,60178,12000.0, 36 months,9.17,382.55,B,B2,debt_consolidation,2015-10-01
1421995,544599,3000.0, 36 months,7.56,93.41,A,A3,vacation,2018-11-01
1272264,376379,8400.0, 36 months,11.67,277.68,B,B4,credit_card,2014-05-01
1553144,631010,20400.0, 60 months,19.42,533.92,D,D3,debt_consolidation,2018-05-01
412633,576864,20000.0, 60 months,12.39,448.85,C,C1,debt_consolidation,2015-01-01
421137,13919,28000.0, 36 months,10.9,915.36,B,B4,debt_consolidation,2018-03-01
2225234,518751,14000.0, 36 months,13.99,478.42,C,C3,credit_card,2016-11-01
1326054,111672,28000.0, 36 months,12.49,936.57,B,B4,debt_consolidation,2014-02-01
